"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_CB91C5FD-6F42-41F8-8B3A-90CF09841DFA;7. Der gute Handel (1857);8819;Ein Jude;laß dirs aufzählen.“ ***Ein Jude***, der in der Nähe;5179;5187;C_6A4AA1C7-6555-4317-A092-0902DA17A1B4;7. Der gute Handel (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_5F8A336C-41B2-418A-8F5A-4939498B54B7;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_6DAF38B8-3A50-4EE0-AE1D-35A0D1F007DB;3. Marienkind (1857);10219;ihre;, und zeigte ihr da ***ihre*** beiden ältesten Kinder, die;8601;8605;C_F3A96BA2-988D-43EB-981A-7A25295FA6BE;3. Marienkind (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_0BF0DD0A-6198-48F0-AEC8-7530A71C79D8;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_52650D17-C2C0-410F-8832-1BCF256CAE3B;5. Der Wolf und die sieben jungen Geislein (1857);5846;Der Müller;auf meine Pfote.“ ***Der Müller*** dachte „der Wolf will;1781;1791;C_904FC3BB-EB78-405E-BE83-47F796E91CE1;5. Der Wolf und die sieben jungen Geislein (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_3B32B3AB-7573-4020-AA12-A3B952404256;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_26F28329-46F7-4572-96D6-6ACEBEC3A6A3;2. Katze und Maus in Gesellschaft (1857);5281;die naschhafte Katze;das Haus in Ordnung, ***die naschhafte Katze*** aber fraß den Fetttopf rein;3732;3752;C_CA80D7AA-D4D8-408E-81BC-CFA4F3FEBA54;2. Katze und Maus in Gesellschaft (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_D7E623C0-6904-421E-AAEB-9606BF52BC5F;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_52650D17-C2C0-410F-8832-1BCF256CAE3B;5. Der Wolf und die sieben jungen Geislein (1857);5846;das Geislein;sein?“ Da mußte ***das Geislein*** nach Haus laufen und Scheere;4127;4139;C_904FC3BB-EB78-405E-BE83-47F796E91CE1;5. Der Wolf und die sieben jungen Geislein (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_E3A21D06-30F1-46CB-B7EB-39BA8DA35904;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_AABF9454-07CA-4CC5-B103-754A0A7665DE;4. Mährchen von einem, der auszog das Fürchten zu lernen (1857);19551;ein todter Mann;Deckel ab: da lag ***ein todter Mann*** darin. Er fühlte ihm;15682;15697;C_F74DE7D6-3364-433B-8257-484CFFE9CC1C;4. Mährchen von einem, der auszog das Fürchten zu lernen (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_50744F11-8939-46F5-AB81-6AAAE6F4C60D;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_6DAF38B8-3A50-4EE0-AE1D-35A0D1F007DB;3. Marienkind (1857);10219;Christkindleins;Maria, die Mutter des ***Christkindleins***: du bist arm und;550;565;C_F3A96BA2-988D-43EB-981A-7A25295FA6BE;3. Marienkind (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_D8812CBD-A2CE-4201-A321-C8320E6DDEC9;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_52650D17-C2C0-410F-8832-1BCF256CAE3B;5. Der Wolf und die sieben jungen Geislein (1857);5846;ihre liebe Mutter;Freude! Da herzten sie ***ihre liebe Mutter***, und hüpften wie ein;4574;4591;C_904FC3BB-EB78-405E-BE83-47F796E91CE1;5. Der Wolf und die sieben jungen Geislein (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_C364CCB6-25AA-433B-BE9A-D540770CCE22;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_6DAF38B8-3A50-4EE0-AE1D-35A0D1F007DB;3. Marienkind (1857);10219;den Leuten;, gieng ein Gemurmel unter ***den Leuten***, die Königin wäre eine;7341;7351;C_F3A96BA2-988D-43EB-981A-7A25295FA6BE;3. Marienkind (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_C9F139CB-10B5-4E77-BBE9-E0835A1F1A21;;;
"tag=""belebte_entität""@2024-11-24T16:01:28.165";D_6DAF38B8-3A50-4EE0-AE1D-35A0D1F007DB;3. Marienkind (1857);10219;das neugeborne Töchterlein;Söhnlein zu ihren Seiten und ***das neugeborne Töchterlein*** auf dem Arm. Sie;9994;10020;C_F3A96BA2-988D-43EB-981A-7A25295FA6BE;3. Marienkind (1857) Belebte Entitäten;/belebte_entität;;"#4A61FF";CATMA_51DE4F89-0744-4145-B9CE-B1CF0444158A;;;
