chars,annotation,start,end,id,name
10219,ihre,8601,8605,3, Marienkind (1857)
5846,Der Müller,1781,1791,5, Der Wolf und die sieben jungen Geislein (1857)
5281,die naschhafte Katze,3732,3752,2, Katze und Maus in Gesellschaft (1857)
5846,das Geislein,4127,4139,5, Der Wolf und die sieben jungen Geislein (1857)
19551,ein todter Mann,15682,15697,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,Christkindleins,550,565,3, Marienkind (1857)
5846,ihre liebe Mutter,4574,4591,5, Der Wolf und die sieben jungen Geislein (1857)
10219,den Leuten,7341,7351,3, Marienkind (1857)
10219,das neugeborne Töchterlein,9994,10020,3, Marienkind (1857)
7839,alter Wasserpatscher,1379,1399,1, Der Froschkönig oder der eiserne Heinrich
5846,dem gottlosen Thier,4716,4735,5, Der Wolf und die sieben jungen Geislein (1857)
8819,dem Bauer,5257,5266,7, Der gute Handel (1857)
8819,dem Bauer,8150,8159,7, Der gute Handel (1857)
8819,dem Bauer,6172,6181,7, Der gute Handel (1857)
10219,Er,5936,5938,3, Marienkind (1857)
8819,Er,936,938,7, Der gute Handel (1857)
8819,Er,1153,1155,7, Der gute Handel (1857)
8819,Er,3566,3568,7, Der gute Handel (1857)
19551,Er,15705,15707,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Er,9002,9004,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Er,14775,14777,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Er,14895,14897,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,sich,1745,1749,3, Marienkind (1857)
10219,sich,5308,5312,3, Marienkind (1857)
10219,sich,8035,8039,3, Marienkind (1857)
10219,sich,5733,5737,3, Marienkind (1857)
10219,sich,1008,1012,3, Marienkind (1857)
10219,sich,9350,9354,3, Marienkind (1857)
10219,sich,1651,1655,3, Marienkind (1857)
10219,sich,3285,3289,3, Marienkind (1857)
10219,sich,772,776,3, Marienkind (1857)
10219,sich,6590,6594,3, Marienkind (1857)
10219,sich,8685,8689,3, Marienkind (1857)
8819,sich,2779,2783,7, Der gute Handel (1857)
8819,sich,7143,7147,7, Der gute Handel (1857)
8819,sich,251,255,7, Der gute Handel (1857)
8819,sich,6658,6662,7, Der gute Handel (1857)
8819,sich,6857,6861,7, Der gute Handel (1857)
19551,sich,14904,14908,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,12624,12628,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,10194,10198,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,1215,1219,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,17518,17522,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,3206,3210,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,14287,14291,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,6242,6246,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,16209,16213,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,11334,11338,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,5558,5562,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,19190,19194,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,10094,10098,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,10662,10666,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,2778,2782,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,10329,10333,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,639,643,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,15938,15942,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,16281,16285,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,11947,11951,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,6316,6320,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,2577,2581,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,1479,1483,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,11496,11500,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,13993,13997,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,12069,12073,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,140,144,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,10768,10772,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,12894,12898,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,12156,12160,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,13436,13440,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,15271,15275,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,sich,3502,3506,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5281,sich,1672,1676,2, Katze und Maus in Gesellschaft (1857)
5281,sich,1703,1707,2, Katze und Maus in Gesellschaft (1857)
5281,sich,4697,4701,2, Katze und Maus in Gesellschaft (1857)
5281,sich,1745,1749,2, Katze und Maus in Gesellschaft (1857)
5281,sich,3849,3853,2, Katze und Maus in Gesellschaft (1857)
5281,sich,4266,4270,2, Katze und Maus in Gesellschaft (1857)
5281,sich,4242,4246,2, Katze und Maus in Gesellschaft (1857)
5846,sich,2966,2970,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,1135,1139,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,672,676,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,2525,2529,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,432,436,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,2983,2987,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,5255,5259,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,1929,1933,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,5014,5018,5, Der Wolf und die sieben jungen Geislein (1857)
5846,sich,5544,5548,5, Der Wolf und die sieben jungen Geislein (1857)
19551,der Alte,17501,17509,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,der Alte,17198,17206,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5281,Mäuschen,1006,1014,2, Katze und Maus in Gesellschaft (1857)
5846,das Ungethüm,4477,4489,5, Der Wolf und die sieben jungen Geislein (1857)
8819,der Spitzbube von König,6891,6914,7, Der gute Handel (1857)
8819,Hunde,1921,1926,7, Der gute Handel (1857)
19551,Hunde,11441,11446,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,dem Wirth,9010,9019,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
7839,Die Königstochter,5243,5260,1, Der Froschkönig oder der eiserne Heinrich
5846,die Geiserchen,866,880,5, Der Wolf und die sieben jungen Geislein (1857)
8819,des Bauern,7311,7321,7, Der gute Handel (1857)
10219,der Königin,7043,7054,3, Marienkind (1857)
19551,seines,7773,7779,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
8819,Der Jude,5611,5619,7, Der gute Handel (1857)
8819,Der Jude,7702,7710,7, Der gute Handel (1857)
8819,Der Jude,6803,6811,7, Der gute Handel (1857)
8819,Der Jude,7404,7412,7, Der gute Handel (1857)
19551,die Wirthsfrau,8724,8738,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
7839,etwas,3248,3253,1, Der Froschkönig oder der eiserne Heinrich
10219,den Räthen,8309,8319,3, Marienkind (1857)
7839,dessen Töchter,121,135,1, Der Froschkönig oder der eiserne Heinrich
19551,todter Vetter,18487,18500,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
19551,Kammermädchen,19045,19058,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
5846,das zweite,2575,2585,5, Der Wolf und die sieben jungen Geislein (1857)
5846,das jüngste,2869,2880,5, Der Wolf und die sieben jungen Geislein (1857)
5846,Mutter,562,568,5, Der Wolf und die sieben jungen Geislein (1857)
5846,Mutter,1300,1306,5, Der Wolf und die sieben jungen Geislein (1857)
8819,die Schildwache,5982,5997,7, Der gute Handel (1857)
8819,die Schildwache,4775,4790,7, Der gute Handel (1857)
7839,sies,4964,4968,1, Der Froschkönig oder der eiserne Heinrich
19551,sich selber,5682,5693,4," Mährchen von einem, der auszog das Fürchten zu lernen (1857)"
10219,dir,1288,1291,3, Marienkind (1857)
10219,dir,7751,7754,3, Marienkind (1857)
10219,dir,6905,6908,3, Marienkind (1857)
10219,dir,8854,8857,3, Marienkind (1857)
8819,dir,2514,2517,7, Der gute Handel (1857)
